,IfcDistributionControlElement,IfcFlowController,IfcFlowFitting,IfcFlowSegment,IfcFlowTerminal,IfcColumn,IfcFurnishingElement,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcWindow,IfcRailing
IfcDistributionControlElement,0.632258064516129,0.12258064516129032,0.08387096774193549,0.09032258064516129,0.0064516129032258064,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.012903225806451613,0.03225806451612903,0.0,0.0064516129032258064
IfcFlowController,0.0,0.930635838150289,0.017341040462427744,0.0,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.04046242774566474
IfcFlowFitting,0.08633093525179857,0.4460431654676259,0.1510791366906475,0.06474820143884892,0.0,0.0,0.07194244604316546,0.10071942446043165,0.0,0.02158273381294964,0.04316546762589928,0.007194244604316547,0.007194244604316547
IfcFlowSegment,0.023952095808383235,0.09580838323353294,0.023952095808383235,0.30538922155688625,0.041916167664670656,0.1437125748502994,0.005988023952095809,0.005988023952095809,0.0,0.08383233532934131,0.0,0.0,0.2694610778443114
IfcFlowTerminal,0.07272727272727272,0.21212121212121213,0.01818181818181818,0.012121212121212121,0.18181818181818182,0.006060606060606061,0.06060606060606061,0.1393939393939394,0.006060606060606061,0.048484848484848485,0.030303030303030304,0.03636363636363636,0.17575757575757575
IfcColumn,0.013888888888888888,0.0,0.0,0.006944444444444444,0.0,0.9583333333333334,0.006944444444444444,0.0,0.0,0.0,0.006944444444444444,0.0,0.006944444444444444
IfcFurnishingElement,0.1568627450980392,0.0392156862745098,0.05228758169934641,0.006535947712418301,0.013071895424836602,0.058823529411764705,0.24836601307189543,0.16339869281045752,0.0,0.0915032679738562,0.0784313725490196,0.032679738562091505,0.058823529411764705
IfcStair,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.006060606060606061,0.8363636363636363,0.0,0.06060606060606061,0.0,0.0,0.04242424242424243
IfcDoor,0.01910828025477707,0.012738853503184714,0.0,0.0,0.006369426751592357,0.012738853503184714,0.0,0.03821656050955414,0.7834394904458599,0.0,0.0,0.044585987261146494,0.08280254777070063
IfcSlab,0.006172839506172839,0.006172839506172839,0.0,0.012345679012345678,0.012345679012345678,0.0,0.006172839506172839,0.05555555555555555,0.0,0.8827160493827161,0.018518518518518517,0.0,0.0
IfcWall,0.0,0.0,0.0,0.00641025641025641,0.019230769230769232,0.10256410256410256,0.0,0.01282051282051282,0.00641025641025641,0.0,0.8269230769230769,0.019230769230769232,0.00641025641025641
IfcWindow,0.0064516129032258064,0.01935483870967742,0.0064516129032258064,0.0,0.0064516129032258064,0.0064516129032258064,0.05161290322580645,0.1032258064516129,0.09032258064516129,0.0,0.03870967741935484,0.6129032258064516,0.05806451612903226
IfcRailing,0.006944444444444444,0.041666666666666664,0.0,0.006944444444444444,0.0,0.027777777777777776,0.0,0.034722222222222224,0.0,0.0,0.034722222222222224,0.0,0.8472222222222222
