,precision,recall,f1-score,support,acc
0,,,,,0.6708860759493671
1,,,,,0.6257309941520468
2,,,,,0.42962962962962964
3,,,,,0.4370860927152318
4,,,,,0.3333333333333333
5,,,,,0.9636363636363636
6,,,,,0.33125
7,,,,,0.8116883116883117
8,,,,,0.773972602739726
9,,,,,0.8974358974358975
10,,,,,0.6647398843930635
11,,,,,0.5426829268292683
12,,,,,0.6506849315068494
IfcColumn,0.7035398230088495,0.9636363636363636,0.813299232736573,165.0,
IfcDistributionControlElement,0.5608465608465608,0.6708860759493671,0.6109510086455331,158.0,
IfcDoor,0.6766467065868264,0.773972602739726,0.7220447284345047,146.0,
IfcFlowController,0.42971887550200805,0.6257309941520468,0.5095238095238095,171.0,
IfcFlowFitting,0.5742574257425742,0.42962962962962964,0.4915254237288135,135.0,
IfcFlowSegment,0.75,0.4370860927152318,0.5523012552301255,151.0,
IfcFlowTerminal,0.49056603773584906,0.3333333333333333,0.3969465648854961,156.0,
IfcFurnishingElement,0.6794871794871795,0.33125,0.4453781512605042,160.0,
IfcRailing,0.6506849315068494,0.6506849315068494,0.6506849315068494,146.0,
IfcSlab,0.6278026905829597,0.8974358974358975,0.7387862796833774,156.0,
IfcStair,0.8278145695364238,0.8116883116883117,0.819672131147541,154.0,
IfcWall,0.625,0.6647398843930635,0.6442577030812324,173.0,
IfcWindow,0.7007874015748031,0.5426829268292683,0.6116838487972509,164.0,
accuracy,0.628009828009828,0.628009828009828,0.628009828009828,0.628009828009828,
macro avg,0.6382424770854526,0.6255966956930069,0.61592731297397,2035.0,
weighted avg,0.6370840170322084,0.628009828009828,0.6164433544361795,2035.0,
