,IfcDuctSegment,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDuctFitting,IfcFurniture,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcLamp,IfcRailing,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcSanitaryTerminal,IfcSpaceHeater,IfcValve
IfcDuctSegment,30,0,0,10,0,0,0,0,3,9,0,0,3,0,0,2,0,4,0,0
IfcAirTerminal,9,16,0,16,0,7,0,0,1,18,0,0,0,0,0,0,4,37,0,0
IfcBeam,1,2,2,0,10,0,0,0,2,13,0,0,0,0,0,0,11,6,0,0
IfcCableCarrierFitting,1,0,0,48,0,0,0,0,0,3,0,0,0,0,0,1,0,16,0,0
IfcCableCarrierSegment,6,0,0,1,54,0,0,0,1,25,0,0,0,0,0,1,0,2,0,0
IfcDuctFitting,7,5,0,6,0,15,0,0,0,5,0,0,0,0,0,0,0,14,0,0
IfcFurniture,1,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,20,0,0
IfcStair,1,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0
IfcDoor,0,0,0,1,0,0,0,0,184,0,0,0,2,0,0,0,18,10,0,0
IfcSlab,4,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,1,5,0,0
IfcWall,2,0,4,1,1,0,0,0,23,0,0,0,7,0,0,1,11,1,0,0
IfcLamp,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
IfcRailing,0,0,9,3,12,0,0,0,8,4,0,0,19,0,0,0,1,2,0,0
IfcOutlet,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
IfcPipeFitting,6,3,0,36,0,0,0,0,0,1,0,0,0,0,3,0,0,35,0,0
IfcPipeSegment,22,0,0,6,6,0,0,0,0,6,0,0,0,0,0,9,9,1,0,0
IfcPlate,0,1,5,0,5,0,0,0,13,86,0,0,4,0,0,0,155,0,0,0
IfcSanitaryTerminal,5,5,0,7,4,0,0,0,24,27,0,2,0,1,6,0,13,440,0,0
IfcSpaceHeater,0,1,4,0,2,0,0,0,4,5,0,0,0,0,0,0,7,2,0,0
IfcValve,2,1,0,1,0,4,0,0,1,1,0,0,0,0,1,0,2,23,0,0
