//X Y Z R G B Scalar_field Nx Ny Nz
31
28.42842674 22.67429924 -0.98397326 141 141 142 1.000000 0.035726 -0.009187 -0.999319
12.20454121 29.00008774 -0.71831590 99 100 96 2.000000 -0.685725 0.172577 -0.707106
11.91610622 23.98795891 -0.90442324 170 170 164 1.000000 0.021311 -0.019281 -0.999587
9.55054188 26.36053276 -2.60675359 145 145 149 0.000000 0.212418 0.971594 -0.104324
16.56864166 22.39073563 -1.02850389 149 150 149 2.000000 -0.000981 0.004907 -0.999987
-12.02861500 30.21874619 -0.78741103 78 80 81 1.000000 -0.998002 -0.059943 0.019981
20.10080147 21.65575790 -1.03075552 124 127 127 1.000000 0.025269 -0.009097 -0.999639
15.65923214 22.23096848 -1.18733382 190 189 188 1.000000 -0.998482 -0.054839 0.005173
20.00756836 32.42332840 -1.19441247 113 111 108 1.000000 0.999916 0.010944 0.006965
12.51301575 29.15871239 -0.90124571 140 141 144 1.000000 0.861942 0.036999 -0.505655
18.39668083 22.11560440 -1.03167939 175 176 175 1.000000 0.038073 -0.015435 -0.999156
18.54021263 31.60055351 -3.12063336 152 154 157 3.000000 0.978430 -0.206415 -0.008163
0.47474599 25.74924278 -2.42958403 178 179 184 0.000000 -0.053132 -0.448216 0.892345
35.28965759 29.63873672 -0.81659067 52 52 52 1.000000 0.290754 0.657007 -0.695560
5.13836956 26.22027016 -0.93747079 148 151 150 1.000000 -0.065071 0.030935 -0.997401
17.62535667 33.11185455 -1.20672369 154 154 155 1.000000 0.999261 0.037766 -0.007145
14.35481071 20.92918205 -0.39570636 80 79 74 0.000000 0.159433 -0.012438 -0.987130
-5.74854660 36.98222733 -0.90083760 20 20 20 1.000000 -0.131331 0.049106 -0.990122
8.30069923 34.78594208 -2.10537958 95 95 91 3.000000 0.664250 -0.247713 -0.705273
35.52478409 28.01678467 -0.57227761 65 66 78 1.000000 -0.058202 -0.028572 -0.997896
8.52880383 32.91133881 -1.05833638 85 85 87 2.000000 0.755513 0.026632 -0.654592
19.10577583 31.43253517 -3.31406116 199 199 190 3.000000 0.008937 -0.006951 0.999936
15.83480263 22.18290710 -0.95710415 133 136 128 1.000000 -0.998905 -0.042441 0.019668
8.64785480 24.99683380 -0.90971702 145 151 152 1.000000 0.013482 0.048743 -0.998720
11.46813679 30.10710907 -0.83023572 73 73 69 2.000000 -0.988815 -0.007839 -0.148938
18.14142227 31.80798531 -1.24670875 173 170 169 1.000000 0.989088 -0.104176 -0.104176
18.81210518 31.80570412 -2.17932463 224 83 83 3.000000 0.153803 0.026203 0.987754
19.40231323 21.40513420 -1.00946844 195 199 199 1.000000 0.027508 0.017320 -0.999471
10.83357525 32.64788818 -2.56860137 144 141 145 3.000000 0.169770 -0.985126 0.026563
34.32751846 28.94165802 -0.35759494 124 118 111 1.000000 0.014953 0.004984 -0.999876
10.82335758 24.65060806 -0.76804578 72 74 69 1.000000 -0.185871 -0.015008 -0.982460
