Entity,Wall,Stair,Slab,FurnishingElement,Column,Flowterminal,FlowSegment,FlowFitting,FlowController,DistributionControlElement,Window,Door,IfcWallStandardCase_3_QnWjyCf43uOsOSqFjYHW
IfcColumn_0AaQubhzz2XeieQO7s6Bh0,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_11ZT4Rj11FvBXlttpjh_ud,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_34fD$MaX18Ee8$z_eu6aqN,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_1tO7SHrxvF2eHo82RmzJVh,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_20DOVLOvz6YuUZUW0uKLTv,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_2yS60m_X5Dqhe2bE4aC0lT,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_04MnLbkcPAz8J4XxnoaZTV,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_2dc5UIFvX5YRjNbJ7oiao4,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_0iyUeBFGD0LewDL_C7IyMj,,,IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,
IfcColumn_1RYz7$7IX5DhRPvxYPN6YW,,,,,IfcColumn_0_vUy8AfX1y8f2RQEA3wx1,,,,,,,,
IfcColumn_1RYz7$7IX5DhRPvxYPN6YW,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_0DlKC8gxXBbQMGPZpoUwJI,,,,,IfcColumn_0HVBytT7T2rR2Fh0G4UxtN,,,,,,,,
IfcColumn_0DlKC8gxXBbQMGPZpoUwJI,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_1UKOERdg99fvQEzKPYv5z_,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2YDgNy51L1ugzL_8ZmITkV,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2YyPOv42D7Ff5mcgMX1KeS,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2nmWr2At943AKMXs6axrLf,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_22eNy7$xfBsRCC1gnNv6e1,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_1B3u2dsTX4bgNyfncrw598,,,,,IfcColumn_1oFQgQJZL24vYl20ERsHEF,,,,,,,,
IfcColumn_1B3u2dsTX4bgNyfncrw598,IfcWallStandardCase_2YUV$lDe15$fCdcBzsMxFx,,,,,,,,,,,,
IfcColumn_3syblz2Ab4pu8mXA_klt_v,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_3syblz2Ab4pu8mXA_klt_v,IfcWallStandardCase_0IqrFOdJ9EXRsMuAJSgtTP,,,,,,,,,,,,
IfcColumn_3syblz2Ab4pu8mXA_klt_v,IfcWallStandardCase_1OaoVSuqT88xpBoTKDJFJU,,,,,,,,,,,,
IfcColumn_0Pj675kXn9Yf2jozhTfFBT,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_0Pj675kXn9Yf2jozhTfFBT,IfcWallStandardCase_0IqrFOdJ9EXRsMuAJSgtTP,,,,,,,,,,,,
IfcColumn_0Pj675kXn9Yf2jozhTfFBT,IfcWallStandardCase_3Z6ZLWgIj4GBVZeIFO9Glx,,,,,,,,,,,,
IfcColumn_2j6O4WAez5HgCirBbgWGVo,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2j6O4WAez5HgCirBbgWGVo,IfcWallStandardCase_0IqrFOdJ9EXRsMuAJSgtTP,,,,,,,,,,,,
IfcColumn_2d6lCU29H6X9jKpfccN28z,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2d6lCU29H6X9jKpfccN28z,IfcWallStandardCase_0IqrFOdJ9EXRsMuAJSgtTP,,,,,,,,,,,,
IfcColumn_2D0i85eSX1Dv9wzKUb5O5O,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2D0i85eSX1Dv9wzKUb5O5O,IfcWallStandardCase_0IqrFOdJ9EXRsMuAJSgtTP,,,,,,,,,,,,
IfcColumn_2D0i85eSX1Dv9wzKUb5O5O,IfcWallStandardCase_2v9iJTZSb9fOgBEAVt2O2B,,,,,,,,,,,,
