Start_node,End_node,Start_category,End_category
IfcDoor_2un$6u9iv7VQfnxEerV9Ee,IfcSlab_1S95G$KmD4KuUstGlbafId,IfcDoor,IfcSlab
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcDoor_2un$6u9iv7VQfnxEerV9Ee,IfcSlab,IfcDoor
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5_e,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5XP,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV9AP,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV99p,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV98S,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV97a,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV95$,IfcSlab,IfcWall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcSlab,IfcWall
IfcWall_0VHNU8CzX2rfsiwnl8p5_e,IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall,IfcSlab
IfcWall_0VHNU8CzX2rfsiwnl8p5_e,IfcWall_1NB4858ij0cgkl5wv0z3dk,IfcWall,IfcWall
IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall,IfcSlab
IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcWall_1S95G$KmD4KuUstGlbafVK,IfcWall,IfcWall
IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcWall_1NB4858ij0cgkl5wv0z3dk,IfcWall,IfcWall
IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall,IfcSlab
IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcWall_1S95G$KmD4KuUstGlbafVl,IfcWall,IfcWall
IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcWall_2un$6u9iv7VQfnxEerV98S,IfcWall,IfcWall
IfcWall_0VHNU8CzX2rfsiwnl8p5XP,IfcDoor_2un$6u9iv7VQfnxEerV9Ee,IfcWall,IfcDoor
IfcWall_0VHNU8CzX2rfsiwnl8p5XP,IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall,IfcSlab
IfcWall_0VHNU8CzX2rfsiwnl8p5XP,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall,IfcWall
IfcWall_1S95G$KmD4KuUstGlbafVl,IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcWall,IfcWall
IfcWall_1S95G$KmD4KuUstGlbafVl,IfcWall_1S95G$KmD4KuUstGlbafV2,IfcWall,IfcWall
IfcWall_1S95G$KmD4KuUstGlbafV2,IfcWall_1S95G$KmD4KuUstGlbafVl,IfcWall,IfcWall
IfcWall_1S95G$KmD4KuUstGlbafV2,IfcWall_1S95G$KmD4KuUstGlbafVK,IfcWall,IfcWall
IfcWall_1S95G$KmD4KuUstGlbafVK,IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcWall,IfcWall
IfcWall_1S95G$KmD4KuUstGlbafVK,IfcWall_1S95G$KmD4KuUstGlbafV2,IfcWall,IfcWall
IfcWall_2un$6u9iv7VQfnxEerV9AP,IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall,IfcSlab
